country,date,Total_industry,Total_manufacturing,Total_construction,Total_retail_trade,Construction_permits_issued,Harmonised_unemployment,Earnings_manufacturing,CPI_all_items,CPI_core,PPI_manufacturing,Exports,Imports,Share_prices,Currency_conversions_usd,IR_3months,IR_10months,IR_immediate,Business_confidence,Consumer_confidence,Leading_indicators
MEX,1987-08-01,0.499999999999998,,1.36986301369866,4.23588114814067,,0.0,13.2552831235942,8.17297473564007,7.92281227023008,0.06847494807921883,-4.05079540686296,6.70905600018662,26.6135072029605,0.04976301714210424,,,-0.7599999999999909,,,-0.00013215272717115312
MEX,1987-09-01,1.74129353233831,,0.122850122850115,-0.578696358471286,,-0.30000000000000027,7.63435481208544,6.58797019597928,6.91902636979043,0.0746817083691309,0.916928828645094,-1.62201912028899,19.5337508698678,0.05044942953018461,,,-1.1300000000000097,,,-0.0019100534908247369
MEX,1987-10-01,-0.366748166259172,,0.490797546012278,1.41974668322834,,0.20000000000000018,14.5210274343654,8.33354534174833,8.48356476275909,0.0839326299062726,-0.847034652869861,0.785681360575052,-41.7767945508529,0.048669120856849435,,,-0.7199999999999989,,,-0.003630954550049026
MEX,1987-11-01,0.245398773006144,,-3.7851037851038,0.952097620972995,,-0.10000000000000009,6.48719952784913,7.93207374714453,8.93178555810374,0.06161969680718982,-2.20240185948437,-1.25795461217948,-43.1906809319068,0.1883694265988698,,,2.0700000000000074,,,-0.0043586674335900355
MEX,1987-12-01,,,1.01522842639593,-1.21082646280386,,-0.3999999999999999,5.99809390663234,14.7698174084127,14.652508070321,0.11578502097354981,1.03914652945059,-0.459498669108374,-7.00519229076828,0.16759751356943509,,,11.920000000000002,,,-0.00398556479405876
MEX,1988-01-01,-1.10159118727053,,0.753768844221117,0.176486617165625,,0.3999999999999999,17.3568896564299,15.4623786983425,13.7955811797863,0.16755806134712659,1.30589894821214,11.2477832130425,32.1283240276332,-0.02911218878084576,,,18.25,,,-0.0026006323205871595
MEX,1988-02-01,-0.618811881188112,,-0.748129675810486,1.25784040178332,,-0.20000000000000018,5.35076242751353,8.34075013869725,9.3652942703231,0.0552146336741719,2.10589769098044,1.58931332456918,43.6685288640596,0.024148967940776478,,,13.33999999999999,,,0.00017457715296131937
MEX,1988-03-01,-0.24906600249065,,-5.0251256281407,3.5013069347873,,0.40000000000000036,4.97713606892931,5.12080390465867,5.87206589902125,0.025762797267720128,-1.589782071989,12.2396511540442,-13.0564833740466,-0.005491988340012521,,,-18.72,,,0.0014041122376537984
MEX,1988-04-01,,,4.23280423280424,-7.42289302707256,,0.0,2.55140129022679,3.07791665571061,3.13402709998726,0.02017834852387268,1.02441842487504,-0.999190669878792,-11.605504587156,-0.00020249755701151617,,,-36.129999999999995,,,0.0020514251999221855
MEX,1988-05-01,-0.249687890137318,,0.126903553299484,9.70739241410415,,0.0,2.63605037912418,1.93480949711791,2.12362997323329,0.009350587126206733,0.941735063010107,8.84633335012595,21.9966268811624,0.001256072311480394,,,-20.439999999999998,,,0.001887697070511507
MEX,1988-06-01,1.50187734668335,,0.25348542458809,1.52764405751063,,0.09999999999999964,3.30345661422486,2.04005014220875,1.73822628891719,0.010422446860214984,-2.03422828615942,-1.47194674115304,-0.797575370872547,0.00020564068538098113,,,-13.830000000000005,,,0.0026962942827815084
MEX,1988-07-01,-2.9593094944513,,-4.2983565107459,-1.24570010532204,,-0.19999999999999973,2.57874950121906,1.66914650995318,1.1959743249922,0.015206506825947264,-1.60011653613366,10.1817876794975,0.809347697914992,0.00015917668644538363,,,-6.039999999999999,,,0.003870473592159307
