Leading_indicators,Total_industry,CPI_all_items,Harmonised_unemployment,CPI_core,Exports,Imports,Share_prices,IR_10months,Consumer_confidence,Currency_conversions_usd,country,date
-0.0018347736786683,-1.78293047145507,1.19617224880382,0.0999999999999996,1.18754688374047,5.41530514240565,1.28850754504984,8.13138038171324,0.92,-0.0005574216561221,-0.0071488805126381,CAN,1980-02-01
-0.0019703035187239,1.1611879203041,0.709219858156048,0.0,0.497417621533927,0.766058232330258,1.95306290692017,-18.0153061689881,0.6100000000000012,-0.0008503269213919,0.0157846487096421,CAN,1980-03-01
-0.0013753127870836,-2.22139642429499,0.704225352112663,0.1000000000000005,0.816391720517878,-3.01076583089961,2.61253859291402,4.02485563924834,-0.6600000000000001,-0.0011712330562252,0.0101025451551485,CAN,1980-04-01
-3.7022315868107114e-05,-2.46526751404077,1.16550116550118,0.0999999999999996,1.22961114375801,-8.42780863232444,-9.91744199917862,5.4440540554994,-1.16,-0.0003884440573918,-0.0105529348269088,CAN,1980-05-01
0.0018223663445233,-0.631245345756217,1.15207373271889,-0.0999999999999996,0.909910860654774,10.5544102325014,5.08581565500274,4.54524706729623,-0.120000000000001,0.0006609462059659,-0.0188164230694637,CAN,1980-06-01
0.0034847316066137,0.897548733410619,0.683371298405486,-0.1000000000000005,0.630247813721129,1.5055356310721,0.378566609991192,6.59907342275695,0.3200000000000003,0.0015450453328984,0.0009723211310842,CAN,1980-07-01
0.00429598658447,-0.464646290170749,1.13122171945701,0.0,1.02376849147432,0.899636829287223,-0.692748106261783,0.938845352192167,0.7800000000000011,0.001189486644181,0.00563097982071,CAN,1980-08-01
0.0040664989246312,2.30197225138613,0.671140939597303,-0.2999999999999998,0.538689839591627,-2.43348297498276,-0.502631790659128,1.89494186229996,0.209999999999999,0.000875916430493,0.0045275632770053,CAN,1980-09-01
0.0028318835292369,1.15689301284115,0.888888888888888,0.0,0.505108605419855,7.57187522232808,12.9032333779675,-0.880072919063364,0.1699999999999999,0.0006988247382881,0.0043356005315205,CAN,1980-10-01
0.0009488984018055,0.194523166702987,1.32158590308371,-0.0999999999999996,1.25029793930267,-0.733401552362963,-4.20671580294309,7.23522978371982,0.2699999999999996,-0.0001153063997811,0.014701489144767,CAN,1980-11-01
-0.0011111550785845,0.798339721166904,0.434782608695644,0.0999999999999996,0.295413497222781,-3.43071446036522,-1.15541102949903,-5.55858514796668,-0.0899999999999998,-0.0012624562051479,0.0084361571012058,CAN,1980-12-01
-0.0025831616420441,-1.09587221465812,1.51515151515152,0.1000000000000005,1.27683601575212,6.00218240783681,4.6875154216664,-1.85304359324724,-0.1199999999999992,-0.0023526896777097,-0.0048310443782859,CAN,1981-01-01
-0.0032031994850481,0.605211026424463,1.06609808102345,0.0,0.985574477006413,-4.3557528330532,-0.0194292146890443,-2.117072206803,0.4800000000000004,-0.0016965521579734,0.0062880221992045,CAN,1981-02-01
-0.0034330212895383,-0.215263698030069,1.26582278481013,0.0,1.05410880874429,0.622808583478318,0.364272510647014,7.04558801938041,0.0699999999999985,-0.00134429450853,-0.0062082485250976,CAN,1981-03-01
-0.0038511247125949,2.08787992809062,0.625000000000003,-0.3000000000000007,0.63736512921172,3.36024685844604,4.4584220184873,-1.14226687468926,0.8800000000000008,-0.0016812034316204,0.0002080560518681,CAN,1981-04-01
-0.0046582795165068,-1.55456540969104,0.828157349896479,0.1000000000000005,0.975847409251787,0.514874070493713,3.44120054779839,2.8091032461423,1.09,-0.0017045890538671,0.0078114382498434,CAN,1981-05-01
-0.0056277453737072,0.604023495349176,1.64271047227926,0.0,1.25414825767256,4.07191197117042,0.862968716606059,-0.425519352906911,-0.5800000000000001,-0.002593255814558,0.0028437049322519,CAN,1981-06-01
-0.006356164829266,0.098412173337758,0.808080808080807,0.0,0.680548916329902,-4.91186109766641,-3.46234691815051,-4.54146955059654,1.1300000000000008,-0.0037853078878695,0.0068538608282893,CAN,1981-07-01
-0.0067144886733041,-3.76490222159801,0.801603206412824,-0.1000000000000005,0.98745535910524,-4.00685811045167,-5.76720031507714,-3.42473046719022,0.5599999999999987,-0.0021191378412686,0.0083309813641375,CAN,1981-08-01
-0.0065463983582976,2.46905101217355,0.795228628230615,1.0,0.77513171757975,2.50061987527249,7.22903319642325,-13.4740043460084,0.5500000000000007,-0.0004423408938833,-0.0180124903270629,CAN,1981-09-01
-0.0059292177440646,-1.45863704150538,0.986193293885611,0.200000000000001,1.19305964703751,0.963653472173146,-3.54218201930694,-2.16627199456309,-0.2399999999999984,0.0004907101208155,0.0012365890633268,CAN,1981-10-01
-0.0051916957317006,-1.87302855879676,0.781249999999999,0.0,1.08972846602348,6.8505924835793,-0.251178985175168,9.19723003115131,-1.8300000000000016,0.0003454260060227,-0.0124629557976767,CAN,1981-11-01
-0.0044804006636702,0.594381964059804,0.387596899224799,0.3999999999999986,0.427658199686336,-4.33238203436341,0.811372149433356,-2.87511990020328,0.0700000000000002,-0.000193423911833,-0.0021469686890083,CAN,1981-12-01
-0.0039222641810985,-1.42894056847545,0.772200772200785,-0.0999999999999996,0.686611178464313,-7.72555106495232,-16.3645467588058,-8.56240789258227,0.8200000000000003,-0.0007809837916763,0.006567349080703,CAN,1982-01-01
-0.0034035982828646,0.135440969582586,1.14942528735631,0.3000000000000007,1.09004757313863,8.9118315579003,10.712425037639,-6.46758930220325,-0.1600000000000001,-0.0009130728768358,0.0179964628851888,CAN,1982-02-01
